date_saf,depositing_date,district_name,entity_subtype_desc,ja_concat,jurstiction_area_name,last_update,mp_id,objectid,on_hold_date,open_date,pa_concat,pl_area_dunam,pl_by_auth_of,pl_date7,pl_date_8,pl_date_advertise,pl_id,pl_landuse_string,pl_last_deposit_date,pl_name,pl_number,pl_order_print_version,pl_rejection_date,pl_tasrit_prn_version,pl_url,plan_area_name,plan_charactor_name,plan_county_name,pq_authorised_quantity_110,pq_authorised_quantity_120,pq_detailed_plan_110,pq_detailed_plan_80,pq_pl_quantity_code_60,pq_pl_quantity_code_75,pq_pl_quantity_code_80,quantity_delta_105,quantity_delta_110,quantity_delta_120,quantity_delta_125,quantity_delta_60,quantity_delta_75,quantity_delta_80,quantity_desc_110,quantity_desc_120,quantity_desc_60,quantity_desc_75,quantity_desc_80,receiving_date,shape_area,shape_length,station_desc,מטרות
2014/11/13 02:00:00,2015/02/17 02:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190243692   ",1000321655,"4329",2016/08/11 03:00:00,2016/05/08 03:00:00,ירושלים,0.415,2,2016/05/08 03:00:00,2016/08/18 03:00:00,2016/02/19 02:00:00,1000425619,מגורים א',2016/04/19 03:00:00,"תוספת בניה להרחבת יחידת דיור, ברחוב רקם 29 מלחה ירושלים",101-0239855,20,,11,https://mavat.iplan.gov.il/SV4/1/1000321655/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,1,0,0,0,0,0,0,0,0,76.6,0,0,0, ,"מגורים (יח""ד)", , , ,2014/08/31 03:00:00,415.09644175,89.10489989,אישור,"תוספת בניה להרחבת יחידת דיור, ברחוב רקם 29 מלחה ירושלים ^ הרחבת יחידת דיור מאושרת ^ 1. שינוי יעוד מאיזור מגורים מיוחד (כפר) לאיזור מגורים א.
2. קביעת השימושים המותרים למגורים.
3. קביעת הוראות בניה כמפורט להלן:
 קביעת בינוי להרחבת יחידת הדיור הקיימ"
,,ירושלים,תכנית מפורטת,ירושלים,ירושלים,"20181204190245455   ",1000368479,"4325",2016/12/21 02:00:00,,ירושלים,1.262,3,,,,1000425581,מגורים ד',,תוספת 5 יחידות דיור בשני בניני מגורים בבית וגן,101-0336958,13,,6,https://mavat.iplan.gov.il/SV4/1/1000368479/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,23,0,0,0,0,0,0,0,5,250.82,0,0,0, ,"מגורים (יח""ד)", , , ,2015/10/19 03:00:00,1260.05991115,169.06184547,אישור,"תוספת 5 יחידות דיור בשני בניני מגורים בבית וגן ^ תוספת 5 יח""ד, הוספת קומה אחת בבניינים 1 ו-2. תוספת שטחים  וניוד שטחי שירות. ^ 2.2.1. שינוי יעוד ממגורים ג' למגורים ד'.
2.2.2 קביעת הבינויים הבאים בשטח:
1. תוספת קומה עליונה לבניינים 1 ו-2.
2. תוספות"
2015/03/31 03:00:00,2015/06/14 03:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190241945   ",1000340879,"4572",2016/09/18 03:00:00,2016/07/10 03:00:00,ירושלים,2.518,2,,2016/09/21 03:00:00,2016/03/11 02:00:00,1000431965,"דרך מאושרת,מגורים ג',שביל,שטח ציבורי פתוח",2016/05/10 03:00:00,הקמת שני בניינים חדשים בשכ' בית צפאפא- ירושלים.,101-0278655,15,2016/07/10 03:00:00,13,https://mavat.iplan.gov.il/SV4/1/1000340879/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות בחלק מתחום התכנית,ירושלים,0,6,0,0,0,0,0,0,0,11,983,0,0,0, ,"מגורים (יח""ד)", , , ,2014/12/16 02:00:00,2518.26697226,368.35998928,אישור,"הקמת שני בניינים חדשים בשכ' בית צפאפא- ירושלים. ^ הריסת בניין והקמת שני בניינים. ^ 1 -   שינוי יעוד קרקע ממגורים 5 מיוחד למגורים ג'.
       2-    קביעת בינוי להקמת בניין חדש בתא שטח מס' 1  בן 4 קומות מעל קומת חניה תת 
              קרקעית, לשם יציר"
,,ירושלים,תכנית מתאר מקומית,"ירושלים,",ירושלים,"20220622105450943   ",1000314439,"4630",2016/10/31 02:00:00,,ירושלים,2.552,3,,2016/11/16 02:00:00,2016/02/26 02:00:00,1000448713,"דרך מאושרת,מגורים א',שביל",,"חלוקה חדשה ושינוי בקווי בניין , בית צפפה, ירושלים",101-0225490,17,,12,https://mavat.iplan.gov.il/SV4/1/1000314439/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,"מגורים (יח""ד)", , , ,2015/05/18 03:00:00,2552.54505878,236.94476538,אישור,"חלוקה חדשה ושינוי בקווי בניין , בית צפפה, ירושלים ^ שינוי בקווי הבניין וחלוקה חדשה בשכונת בית צפפה, ירושלים. ^ 2.2.1 שינוי במערך יעודי הקרקע מאזור מגורים 5 מיוחד לאיזור מגורים א'.
2.2.2 קביעת הוראות איחוד וחלוקה חדשה בהסכמה בתחום חלקות 123, 124 בגוש"
2014/10/27 02:00:00,2015/02/10 02:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190244659   ",1000246319,"4670",2016/11/17 02:00:00,2016/02/24 02:00:00,ירושלים,3.051,2,,2016/11/23 02:00:00,2015/11/20 02:00:00,1000458185,"מגורים ג',שטח ציבורי פתוח",2016/01/19 02:00:00,3 בנייני מגורים ושטחי ציבור ברח' נזר דוד ירושלים,101-0105957,30,2016/02/24 02:00:00,24,https://mavat.iplan.gov.il/SV4/1/1000246319/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,16,0,0,0,0,80,0,0,19,1379.44,0,0,0, ,"מגורים (יח""ד)", , ,"מבני ציבור (מ""ר)",2013/09/29 03:00:00,3045.92849645,320.27325254,אישור,"3 בנייני מגורים ושטחי ציבור ברח' נזר דוד ירושלים ^ שינוי יעוד משטח מגורים 5 ומגורים 5 מיוחד לשטח למגורים ג' ולשצ""פ, והקמת 3 בנייני מגורים חדשים בני 4 קומות מכיוון רחבות דוד מרץ ו-5 קומות בנסיגה מכיוון רחוב נזר דוד. ^ א. שינוי במערך יעודי הקרקע כמפורט"
2014/07/14 03:00:00,2015/06/08 03:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190244191   ",1000247779,"4707",2016/11/02 02:00:00,2016/07/05 03:00:00,ירושלים,12.65,2,,2016/11/08 02:00:00,2016/02/19 02:00:00,1000471263,"דרך מאושרת,דרך מוצעת,מבנים ומוסדות ציבור,מגורים ד',מגורים מסחר ותעסוקה,שטח ציבורי פתוח",2016/04/19 03:00:00,נוף הפארק - יובלים גנים,101-0109876,27,2016/07/05 03:00:00,24,https://mavat.iplan.gov.il/SV4/1/1000247779/310,ירושלים,תכנית שמכוחה לא ניתן להוציא היתרים או הרשאות,ירושלים,0,100,0,0,60,75,80,0,0,328,40059,1000,-1000,3900, ,"מגורים (יח""ד)","תעסוקה (מ""ר)","מסחר (מ""ר)","מבני ציבור (מ""ר)",2013/12/22 02:00:00,12650.58046221,585.9526447,אישור,"נוף הפארק - יובלים גנים ^ הקמת בינייני מגורים, מרכז מסחרי ושירותי ציבור בהליך של פינוי בינוי. ^ א.	שנוי ייעוד קרקע משטח למתקנים הנדסיים, אזור מסחרי, דרך מאושרת, אזור מגורים 6 מיוחד, שצ""פ, מעבר ציבורי להולכי רגל ודרך מוצעת למגורים מסחר ותעסוקה, מגורים"
2015/10/26 02:00:00,2016/01/03 02:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190245720   ",1000349911,"4896",2017/10/26 03:00:00,2017/06/21 03:00:00,ירושלים,2.801,2,2017/06/21 03:00:00,2017/11/02 02:00:00,2017/04/21 03:00:00,1000536497,"מגורים ב',שביל",2017/06/20 03:00:00,"תוספת בניין למגורים, בית צפאפא, ירושלים",101-0299149,13,,12,https://mavat.iplan.gov.il/SV4/1/1000349911/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,,0,8,0,0,0,0,0,0,0,6,833.88,0,0,0, ,"מגורים (יח""ד)", , , ,2015/06/01 03:00:00,2801.46864099,396.25583196,אישור,"תוספת בניין למגורים, בית צפאפא, ירושלים ^ הקמת בניין מגורים חדש בן 3 קומות מעל קומות חניה ושירות.
 ^ 1. שינוי יעוד קרקע מאזור מגורים 5 מיוחד למגורים ב'.
2. שיוני ייעוד קרקע ממעבר ציבורי להולכי רגל לשביל עם זיקת הנאה למעבר כלי רכב..
3. קביעת שטחי ב"
,,ירושלים,הודעה לפי סעיף 77 ו 78 לחוק התכנון והבניה,,,"20190516165136378   ",1000569993,"5025",,,ירושלים,4.583,2,,,,1000217735,מגבלות בניה ופיתוח,,"טופ בורוכוב , הודעה עפ""י סעיף 77 ו- 78 לחוק",101-0483198,1,,1,https://mavat.iplan.gov.il/SV4/1/1000569993/310,ירושלים,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,,4583.39428641,283.52208564,הודעה 77/78,"טופ בורוכוב , הודעה עפ""י סעיף 77 ו- 78 לחוק ^ 1. שיפור תנאי המגורים הקיימים בפינת הרחובות הנטקה, זנגויל ובורוכוב בשכונת קרית יובל שבירושלים ותוספת למגורים. 
2. חידוש עירוני וחיזוק השכונה באמצעות:
א. פינוי של 36 יח""ד הקיימות בשטח ובניית 170 יח""ד.
ב"
2014/12/21 02:00:00,2015/03/09 02:00:00,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190244191   ",1000306387,"5051",2016/12/20 02:00:00,2016/11/14 02:00:00,ירושלים,12.404,2,,2016/12/28 02:00:00,2016/04/22 03:00:00,1000575845,"דרך מוצעת,מלונאות (אכסון מלונאי)",2016/06/21 03:00:00,מלון יהודה- תוספת שטחים,101-0210054,28,2016/11/14 02:00:00,17,https://mavat.iplan.gov.il/SV4/1/1000306387/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,0,0,0,0,0,0,2572,0,0,0,0,0,0, , , , , ,2014/05/29 03:00:00,12402.78753492,547.60235384,אישור,"מלון יהודה- תוספת שטחים ^ הוספת זכויות בנייה למלון בית יהודה, ע""י הרחבת הבניין הקיים, ע""י תוספת קומות ע""ג הבניין הקיים, ע""י בניית אגפים חדשים, וע""י בניית חניון תת קרקעי.

 ^ 1. קביעת קווי בניין
2. קביעת בינוי להקמת בניינים חדשים, תוספות בנייה וחני"
,,ירושלים,תכנית מתאר מקומית,ירושלים,ירושלים,"20181204190239667   ",1000380557,"5122",2017/05/25 03:00:00,,ירושלים,0.383,3,,,,1000601319,מגורים ב',,שינוי קו בניין ומפלס 0.00-/+ ברח' האייל 23 מלחה.,101-0361154,13,,10,https://mavat.iplan.gov.il/SV4/1/1000380557/310,ירושלים,תכנית שמכוחה ניתן להוציא היתרים או הרשאות,ירושלים,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,"מגורים (יח""ד)", , , ,2015/11/11 02:00:00,383.08975004,93.15461353,אישור,"שינוי קו בניין ומפלס 0.00-/+ ברח' האייל 23 מלחה. ^ שינוי קווי בניין ושינוי מפלס 00.0-/+ ^ א. שינוי יעוד איזור מגורים מיוחד ל-(הכפר) לאיזור מגורים ב'
ב. שינוי הוראות בינוי ע""י שינוי מפלס ה-0.00 מ- 712.50 -/+ 0.50 ל-  714.00 -/+ 0.50
ג. שינוי בקוי בנ"
